Character,Episode,Episode Title,Total Episodes Appeared,First Line,Last Line
Darryl,S2 E15,Christmas Party,105,It's not my real name.,"Everyday when I came into work, all I wanted to do was leave. So why in the world does it feel so hard to leave right now?"
Darryl,S4 E51,Fun Run,105,It's not my real name.,"Everyday when I came into work, all I wanted to do was leave. So why in the world does it feel so hard to leave right now?"
Darryl,S5 E69,Employee Transfer,105,It's not my real name.,"Everyday when I came into work, all I wanted to do was leave. So why in the world does it feel so hard to leave right now?"
Darryl,S5 E65,Weight Loss,105,It's not my real name.,"Everyday when I came into work, all I wanted to do was leave. So why in the world does it feel so hard to leave right now?"
Oscar,S5 E77,Stress Relief,164,You guys better update your resumes just like I'm doing.,You're not gay.
Oscar,S1 E0,Pilot,164,You guys better update your resumes just like I'm doing.,You're not gay.
Oscar,S2 E17,The Injury,164,You guys better update your resumes just like I'm doing.,You're not gay.
Oscar,S3 E40,The Return,164,You guys better update your resumes just like I'm doing.,You're not gay.
Oscar,S4 E60,Chair Model,164,You guys better update your resumes just like I'm doing.,You're not gay.
Angela,S5 E77,Stress Relief,174,I bet it's gonna be me. Probably gonna be me.,Do you even have a mattress?
Angela,S1 E0,Pilot,174,I bet it's gonna be me. Probably gonna be me.,Do you even have a mattress?
Angela,S2 E17,The Injury,174,I bet it's gonna be me. Probably gonna be me.,Do you even have a mattress?
Angela,S3 E40,The Return,174,I bet it's gonna be me. Probably gonna be me.,Do you even have a mattress?
Angela,S3 E39,Traveling Salesmen,174,I bet it's gonna be me. Probably gonna be me.,Do you even have a mattress?
Ryan,S1 E0,Pilot,141,Hey.,I finally mastered commitment.
Ryan,S2 E17,The Injury,141,Hey.,I finally mastered commitment.
Ryan,S3 E40,The Return,141,Hey.,I finally mastered commitment.
Ryan,S3 E39,Traveling Salesmen,141,Hey.,I finally mastered commitment.
Ryan,S3 E41,Ben Franklin,141,Hey.,I finally mastered commitment.
Erin,S6 E94,Niagara: Part 1,98,"If we're changing names, can I be Erin? It's my middle name.","How did you do it? How did you capture what it was really like? How we felt and how made each other laugh and how we got through the day? How did you do it? Also, how do cameras work?"
Erin,S6 E95,Niagara: Part 2,98,"If we're changing names, can I be Erin? It's my middle name.","How did you do it? How did you capture what it was really like? How we felt and how made each other laugh and how we got through the day? How did you do it? Also, how do cameras work?"
Erin,S6 E108,The Delivery: Part 2,98,"If we're changing names, can I be Erin? It's my middle name.","How did you do it? How did you capture what it was really like? How we felt and how made each other laugh and how we got through the day? How did you do it? Also, how do cameras work?"
Erin,S6 E107,The Delivery: Part 1,98,"If we're changing names, can I be Erin? It's my middle name.","How did you do it? How did you capture what it was really like? How we felt and how made each other laugh and how we got through the day? How did you do it? Also, how do cameras work?"
Erin,S6 E97,The Lover,98,"If we're changing names, can I be Erin? It's my middle name.","How did you do it? How did you capture what it was really like? How we felt and how made each other laugh and how we got through the day? How did you do it? Also, how do cameras work?"
Toby,S2 E17,The Injury,113,"Hey, we're not all going to sit in a circle Indian style are we? [Laughing]",Yeah. I'll stop by.
Toby,S4 E60,Chair Model,113,"Hey, we're not all going to sit in a circle Indian style are we? [Laughing]",Yeah. I'll stop by.
Toby,S2 E15,Christmas Party,113,"Hey, we're not all going to sit in a circle Indian style are we? [Laughing]",Yeah. I'll stop by.
Toby,S4 E51,Fun Run,113,"Hey, we're not all going to sit in a circle Indian style are we? [Laughing]",Yeah. I'll stop by.
Toby,S6 E95,Niagara: Part 2,113,"Hey, we're not all going to sit in a circle Indian style are we? [Laughing]",Yeah. I'll stop by.
Stanley,S5 E77,Stress Relief,170,Well...,"Okay, I need a drink."
Stanley,S1 E0,Pilot,170,Well...,"Okay, I need a drink."
Stanley,S2 E17,The Injury,170,Well...,"Okay, I need a drink."
Stanley,S3 E40,The Return,170,Well...,"Okay, I need a drink."
Stanley,S3 E39,Traveling Salesmen,170,Well...,"Okay, I need a drink."
Meredith,S5 E77,Stress Relief,139,"Michael. Michael, please, can we talk to you about this memo?",I just feel lucky that I got a chance to share my crummy story with anyone out there who thinks they're the only one to take a dump in a paper shredder. You're not alone sister. Let's get a beer sometime.
Meredith,S2 E17,The Injury,139,"Michael. Michael, please, can we talk to you about this memo?",I just feel lucky that I got a chance to share my crummy story with anyone out there who thinks they're the only one to take a dump in a paper shredder. You're not alone sister. Let's get a beer sometime.
Meredith,S3 E40,The Return,139,"Michael. Michael, please, can we talk to you about this memo?",I just feel lucky that I got a chance to share my crummy story with anyone out there who thinks they're the only one to take a dump in a paper shredder. You're not alone sister. Let's get a beer sometime.
Meredith,S3 E41,Ben Franklin,139,"Michael. Michael, please, can we talk to you about this memo?",I just feel lucky that I got a chance to share my crummy story with anyone out there who thinks they're the only one to take a dump in a paper shredder. You're not alone sister. Let's get a beer sometime.
Meredith,S2 E15,Christmas Party,139,"Michael. Michael, please, can we talk to you about this memo?",I just feel lucky that I got a chance to share my crummy story with anyone out there who thinks they're the only one to take a dump in a paper shredder. You're not alone sister. Let's get a beer sometime.
Kevin,S5 E77,Stress Relief,180,"Yeah, it'll be you.","No, but maybe the reason'"
Kevin,S1 E0,Pilot,180,"Yeah, it'll be you.","No, but maybe the reason'"
Kevin,S2 E17,The Injury,180,"Yeah, it'll be you.","No, but maybe the reason'"
Kevin,S3 E40,The Return,180,"Yeah, it'll be you.","No, but maybe the reason'"
Kevin,S3 E39,Traveling Salesmen,180,"Yeah, it'll be you.","No, but maybe the reason'"
Creed,S5 E77,Stress Relief,137,Huh?,"It all seems so very arbitrary. I applied for a job at this company because they were hiring. I took a desk at the back because it was empty. But'[chuckles] no matter how you get there or where you end up, human beings have this miraculous gift to make that place home. [standing with two cops] Let's do this."
Creed,S2 E17,The Injury,137,Huh?,"It all seems so very arbitrary. I applied for a job at this company because they were hiring. I took a desk at the back because it was empty. But'[chuckles] no matter how you get there or where you end up, human beings have this miraculous gift to make that place home. [standing with two cops] Let's do this."
Creed,S3 E40,The Return,137,Huh?,"It all seems so very arbitrary. I applied for a job at this company because they were hiring. I took a desk at the back because it was empty. But'[chuckles] no matter how you get there or where you end up, human beings have this miraculous gift to make that place home. [standing with two cops] Let's do this."
Creed,S4 E60,Chair Model,137,Huh?,"It all seems so very arbitrary. I applied for a job at this company because they were hiring. I took a desk at the back because it was empty. But'[chuckles] no matter how you get there or where you end up, human beings have this miraculous gift to make that place home. [standing with two cops] Let's do this."
Creed,S2 E15,Christmas Party,137,Huh?,"It all seems so very arbitrary. I applied for a job at this company because they were hiring. I took a desk at the back because it was empty. But'[chuckles] no matter how you get there or where you end up, human beings have this miraculous gift to make that place home. [standing with two cops] Let's do this."
